Day;Hour;Wave;Acc Mag ;Moving Avg Acc MAG(3);Moving Avg Acc MAG(4);Moving Avg Acc MAG(5);Moving Avg Acc MAG(6)
23/10/2024; 18:48:33;0;0,998269;1,039157;1,037097;1,030145;1,038879
23/10/2024; 18:48:33;0;0,998269;1,039157;1,037097;1,030145;1,038879
23/10/2024; 18:48:33;0;1,146248;1,047814;1,06593;1,058927;1,049496
23/10/2024; 18:48:33;0;1,146248;1,047814;1,06593;1,058927;1,049496
23/10/2024; 18:48:33;0;1,005527;1,050015;1,037242;1,053849;1,050027
23/10/2024; 18:48:33;0;1,005527;1,050015;1,037242;1,053849;1,050027
23/10/2024; 18:48:33;0;0,993472;1,048416;1,035879;1,028488;1,043786
23/10/2024; 18:48:34;0;1,028884;1,009295;1,043533;1,03448;1,028554
23/10/2024; 18:48:34;0;1,052372;1,024909;1,020064;1,045301;1,037462
23/10/2024; 18:48:34;0;1,052372;1,024909;1,020064;1,045301;1,037462
23/10/2024; 18:48:34;0;1,048848;1,043368;1,030894;1,025821;1,045892
23/10/2024; 18:48:34;0;1,048848;1,043368;1,030894;1,025821;1,045892
23/10/2024; 18:48:34;0;1,014398;1,038539;1,036126;1,027595;1,023917
23/10/2024; 18:48:34;0;1,014398;1,038539;1,036126;1,027595;1,023917
23/10/2024; 18:48:34;0;1,014733;1,025993;1,032588;1,031847;1,025451
23/10/2024; 18:48:34;0;1,014733;1,025993;1,032588;1,031847;1,025451
23/10/2024; 18:48:34;0;1,096184;1,041772;1,043541;1,045307;1,04257
23/10/2024; 18:48:34;0;1,011652;1,040856;1,034242;1,037163;1,039698
23/10/2024; 18:48:34;0;1,020128;1,042655;1,035674;1,031419;1,034324
23/10/2024; 18:48:34;0;1,020128;1,042655;1,035674;1,031419;1,034324
23/10/2024; 18:48:34;0;1,03476;1,02218;1,040681;1,035491;1,031976
23/10/2024; 18:48:35;0;1,03476;1,02218;1,040681;1,035491;1,031976
23/10/2024; 18:48:35;0;1,038933;1,031273;1,026368;1,040331;1,036065
23/10/2024; 18:48:35;0;1,038933;1,031273;1,026368;1,040331;1,036065
23/10/2024; 18:48:35;0;1,053406;1,042366;1,036806;1,031776;1,04251
23/10/2024; 18:48:35;0;1,053406;1,042366;1,036806;1,031776;1,04251
23/10/2024; 18:48:35;0;1,071545;1,054628;1,049661;1,043754;1,038404
23/10/2024; 18:48:35;0;1,071545;1,054628;1,049661;1,043754;1,038404
23/10/2024; 18:48:35;0;1,009713;1,044888;1,043399;1,041671;1,038081
23/10/2024; 18:48:35;0;1,057595;1,046284;1,048065;1,046238;1,044325
23/10/2024; 18:48:35;0;1,057595;1,046284;1,048065;1,046238;1,044325
23/10/2024; 18:48:35;0;0,983638;1,016982;1,030623;1,035179;1,035805
23/10/2024; 18:48:35;0;0,983638;1,016982;1,030623;1,035179;1,035805
23/10/2024; 18:48:35;0;1,121394;1,054209;1,043085;1,048777;1,049548
23/10/2024; 18:48:35;0;1,121394;1,054209;1,043085;1,048777;1,049548
23/10/2024; 18:48:35;0;1,001325;1,035452;1,040988;1,034733;1,040868
23/10/2024; 18:48:35;0;1,001325;1,035452;1,040988;1,034733;1,040868
23/10/2024; 18:48:35;0;1,020572;1,047764;1,031732;1,036905;1,032373
23/10/2024; 18:48:36;0;1,020572;1,047764;1,031732;1,036905;1,032373
23/10/2024; 18:48:36;0;1,019157;1,013685;1,040612;1,029217;1,033947
23/10/2024; 18:48:36;0;1,019157;1,013685;1,040612;1,029217;1,033947
23/10/2024; 18:48:36;0;1,040936;1,026888;1,020498;1,040677;1,03117
23/10/2024; 18:48:36;0;1,084732;1,048275;1,041349;1,033344;1,048019
23/10/2024; 18:48:36;0;1,084732;1,048275;1,041349;1,033344;1,048019
23/10/2024; 18:48:36;0;1,099482;1,07505;1,061077;1,052976;1,044367
23/10/2024; 18:48:36;0;1,0275;1,070571;1,063162;1,054361;1,04873
23/10/2024; 18:48:36;0;1,0275;1,070571;1,063162;1,054361;1,04873
23/10/2024; 18:48:36;0;0,987385;1,038122;1,049775;1,048007;1,043199
23/10/2024; 18:48:36;0;0,987385;1,038122;1,049775;1,048007;1,043199
23/10/2024; 18:48:36;0;0,987385;1,038122;1,049775;1,048007;1,043199
23/10/2024; 18:48:36;0;0,987503;1,000796;1,025468;1,03732;1,037923
23/10/2024; 18:48:36;0;1,052178;1,009022;1,013641;1,03081;1,039797
23/10/2024; 18:48:36;0;1,050689;1,030123;1,019439;1,021051;1,034123
23/10/2024; 18:48:37;0;1,050689;1,030123;1,019439;1,021051;1,034123
23/10/2024; 18:48:37;0;0,999075;1,033981;1,022361;1,015366;1,017388
23/10/2024; 18:48:37;0;0,999075;1,033981;1,022361;1,015366;1,017388
23/10/2024; 18:48:37;0;1,013962;1,021242;1,028976;1,020681;1,015132
23/10/2024; 18:48:37;0;1,064452;1,02583;1,032045;1,036071;1,027977
23/10/2024; 18:48:37;0;1,064452;1,02583;1,032045;1,036071;1,027977
23/10/2024; 18:48:37;0;1,0564;1,044938;1,033472;1,036916;1,039459
23/10/2024; 18:48:37;0;1,0564;1,044938;1,033472;1,036916;1,039459
23/10/2024; 18:48:37;0;1,098948;1,073267;1,058441;1,046568;1,047254
23/10/2024; 18:48:37;0;1,118262;1,091203;1,084516;1,070405;1,058517
23/10/2024; 18:48:37;0;0,912782;1,043331;1,046598;1,050169;1,044134
23/10/2024; 18:48:37;0;0,912782;1,043331;1,046598;1,050169;1,044134
23/10/2024; 18:48:37;0;1,125805;1,052283;1,063949;1,06244;1,062775
23/10/2024; 18:48:37;0;0,975565;1,004717;1,033104;1,046273;1,04796
